```csv
Time Period,Net cash provided by operating activities - TTM (GAAP),Capital expenditures - TTM,Free cash flow - TTM (non-GAAP),Net income attributable to common stockholders - TTM (GAAP),Interest expense - TTM,Provision for (benefit from) income taxes - TTM,Depreciation, amortization and impairment - TTM,Stock-based compensation expense - TTM,Adjusted EBITDA - TTM (non-GAAP)
2Q-2021,9,184,-5,009,4,175,2,181,583,453,2,504,2,264,7,985
3Q-2021,9,931,-5,823,4,108,3,468,546,490,2,681,2,196,9,381
4Q-2021,11,497,-6,482,5,015,5,519,371,699,2,911,2,121,11,621
1Q-2022,13,851,-6,901,6,950,8,399,333,976,3,170,1,925,14,803
2Q-2022,14,078,-7,126,6,952,9,516,302,1,066,3,411,1,812,16,107
3Q-2022,16,031,-7,158,8,921,11,190,229,1,148,3,606,1,699,17,872
4Q-2022,14,724,-7,463,7,566,12,556,191,1,132,3,747,1,560,19,186
1Q-2023,13,242,-7,793,5,779,11,751,159,1,047,3,913,1,560,18,430
2Q-2023,13,956,-8,450,6,163,12,195,143,1,165,4,145,1,644,19,292
3Q-2023,12,164,-8,898,3,714,10,756,128,1,027,4,424,1,747,18,082
4Q-2023,13,256,-8,898,4,358,14,997,-5,001,1,027,4,667,1,812,16,631
1Q-2024,10,985,-9,599,1,386,13,613,-4,853,4,867,4,867,1,918,15,748
```
