```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures (1),Free cash flow (non-GAAP) (1),Net income attributable to common stockholders (GAAP) (2),Interest expense,Provision for (benefit from) income taxes (2),Depreciation, amortization and impairment,Stock-based compensation expense,Digital assets loss (gain), net (2),Adjusted EBITDA (non-GAAP) (2) (3),Net cash provided by operating activities - TTM (GAAP),Capital expenditures - TTM (1),Free cash flow - TTM (non-GAAP) (1),Net income attributable to common stockholders - TTM (GAAP) (2),Interest expense - TTM,Provision for (benefit from) income taxes - TTM (2),Depreciation, amortization and impairment - TTM,Stock-based compensation expense - TTM,Digital assets loss (gain), net - TTM (2)
4Q-2021,4585,-1814,2771,2321,71,292,848,558,--,-,4090,16031,-7119,8912,11190,229,1148,3606,1699,170,18042
1Q-2022,3995,-1772,2223,3318,61,346,880,418,--,--,5023,-7163,7561,12556,191,1132,3747,1560,204,19390
2Q-2022,2351,-1730,621,2259,44,205,922,361,170,34,3961,13242,-7464,5778,11751,159,1047,3913,1560,204,18634
3Q-2022,5100,-1803,3297,3292,53,305,956,362,--,34,4968,13956,-8450,6162,12195,143,1165,4145,1644,204,18326
4Q-2022,3278,-1858,1420,3687,33,276,989,419,34,34,5438,12164,-8899,3714,10756,128,1027,4424,1747,34,18116
1Q-2023,2513,-2073,440,2513,29,323,1046,445,--,--,4267,13256,-8899,4357,14997,156,5001,4667,1812,34,16631
2Q-2023,3065,-2459,1005,2703,28,167,1154,465,--,--,4653,13256,-9603,3714,10756,156,1027,4867,1918,--,16631
3Q-2023,3308,-2307,2063,1853,38,167,1235,484,--,--,3953,13256,-10899,3610,12891,203,4731,4991,1904,--,16056
4Q-2023,4370,-2772,1340,7928,61,483,1246,524,--,100,4333,10985,-9815,3610,13874,261,4296,5104,1999,--,15486
1Q-2024,242,-2272,2742,1390,76,371,1278,439,524,335,4665,11532,-9815,1717,13571,315,4731,5368,2048,235,15296
2Q-2024,3612,-2272,2034,1400,86,602,1246,457,579,100,4333,11532,-10869,1717,13874,203,4296,5569,2244,242,15213
3Q-2024,6255,-3513,2034,2173,92,381,1278,484,573,347,4333,11532,-11342,3610,12891,350,4296,5724,1999,--,15486
4Q-2024,4814,-2780,664,2128,96,381,1496,579,573,125,2814,11532,-11342,3581,12891,350,4296,5724,2048,--,15486
1Q-2025,2156,-1492,664,409,91,169,1447,573,573,125,2814,11532,-11342,3581,12891,350,4296,5724,2048,--,15486
2Q-2025,2540,-2394,146,1172,86,359,1433,635,635,-284,3401,11683,-11057,5586,5882,365,1523,5724,2244,--,15213
```
