```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures (1),Free cash flow (non-GAAP) (1),Net income attributable to common stockholders (GAAP) (2),Interest expense,Provision for (benefit from) income taxes (2),Depreciation, amortization and impairment,Stock-based compensation expense,Digital assets loss (gain), net (2),Adjusted EBITDA (non-GAAP) (2) (3),Net cash provided by operating activities - TTM (GAAP),Capital expenditures - TTM (1),Free cash flow - TTM (non-GAAP) (1),Net income attributable to common stockholders - TTM (GAAP) (2),Interest expense - TTM,Provision for (benefit from) income taxes - TTM (2),Depreciation, amortization and impairment - TTM,Stock-based compensation expense - TTM,Digital assets loss (gain), net - TTM (2),Adjusted EBITDA - TTM (non-GAAP) (2) (3)
3Q-2022,5100,-1803,3297,3292,53,305,956,362,0,0,4968,13956,-7794,6162,12195,143,1165,4145,1644,34,19326,
4Q-2022,3278,-1858,1420,3687,33,276,989,419,34,0,5438,12164,-8450,3714,10756,128,1027,4424,1747,34,18116,
1Q-2023,2513,-2073,440,2513,29,261,1046,418,0,0,4267,13256,-8899,3714,10756,128,1027,4424,1747,34,16631,
2Q-2023,3065,-2060,1005,2703,28,323,1154,445,0,0,4653,13256,-9603,4357,14997,156,5001,4667,1812,34,16631,
3Q-2023,3308,-2459,849,1853,38,167,1235,465,0,-335,3758,10985,-8815,4357,14997,203,-5001,4867,1918,-335,15748,
4Q-2023,4370,-2307,2063,7928,61,483,1232,484,0,100,3953,11532,-10869,1382,13874,-4779,-4779,4991,-235,15769,
1Q-2024,242,-2777,-2535,1390,76,371,1246,439,0,-347,3384,14479,-11342,1717,12571,261,-4779,5104,-242,14769,
2Q-2024,3612,-2272,1340,2128,92,602,1278,457,0,-284,3665,14923,-11057,3610,12891,315,-4731,5368,-242,15676,
3Q-2024,6255,-3513,2742,2034,96,381,1348,579,0,125,4333,16837,-10057,6780,7091,350,-4296,5569,-589,16056,
4Q-2024,4814,-2780,2034,409,91,381,1447,573,0,-80,4227,16837,-10057,6780,6110,365,-4296,5724,-513,15213,
1Q-2025,2156,-1492,664,1172,86,169,1447,579,0,284,2814,15213,-10057,6780,5882,365,-4296,5724,-586,14775,
2Q-2025,2540,-2394,146,1373,86,359,1433,635,0,307,2427,15765,-10179,5586,5082,365,-4296,5724,-586,14596,
3Q-2025,6238,-2493,3990,1373,85,570,1643,663,0,222,4154,15765,-8914,6834,5082,349,-4296,5724,-586,14775,
4Q-2025,3813,-2393,1420,840,92,325,1625,954,0,307,4154,15765,-8914,6834,5082,338,-4296,5724,-586,14775,
1Q-2026,3937,-2493,1444,477,92,257,1590,1030,0,222,3668,16528,-9528,7000,3794,339,-4296,6291,-586,14775
```
