Q3,2018,Tesla vehicles using Autopilot technology,3.3,Miles driven per accident (millions)
Q4,2018,Tesla vehicles using Autopilot technology,2.9,Miles driven per accident (millions)
Q1,2019,Tesla vehicles using Autopilot technology,2.8,Miles driven per accident (millions)
Q2,2019,Tesla vehicles using Autopilot technology,3.1,Miles driven per accident (millions)
Q3,2019,Tesla vehicles using Autopilot technology,3.7,Miles driven per accident (millions)
Q4,2019,Tesla vehicles using Autopilot technology,3.1,Miles driven per accident (millions)
Q1,2020,Tesla vehicles using Autopilot technology,4.9,Miles driven per accident (millions)
Q2,2020,Tesla vehicles using Autopilot technology,5.0,Miles driven per accident (millions)
Q3,2020,Tesla vehicles using Autopilot technology,5.0,Miles driven per accident (millions)
Q4,2020,Tesla vehicles using Autopilot technology,4.7,Miles driven per accident (millions)
Q1,2021,Tesla vehicles using Autopilot technology,4.7,Miles driven per accident (millions)
Q2,2021,Tesla vehicles using Autopilot technology,5.0,Miles driven per accident (millions)
Q3,2021,Tesla vehicles using Autopilot technology,5.5,Miles driven per accident (millions)
Q4,2021,Tesla vehicles using Autopilot technology,4.3,Miles driven per accident (millions)
Q1,2022,Tesla vehicles using Autopilot technology,6.5,Miles driven per accident (millions)
Q2,2022,Tesla vehicles using Autopilot technology,5.0,Miles driven per accident (millions)
Q3,2022,Tesla vehicles using Autopilot technology,6.2,Miles driven per accident (millions)
Q3,2018,Tesla vehicles not using Autopilot technology,1.9,Miles driven per accident (millions)
Q4,2018,Tesla vehicles not using Autopilot technology,1.2,Miles driven per accident (millions)
Q1,2019,Tesla vehicles not using Autopilot technology,1.2,Miles driven per accident (millions)
Q2,2019,Tesla vehicles not using Autopilot technology,1.4,Miles driven per accident (millions)
Q3,2019,Tesla vehicles not using Autopilot technology,1.5,Miles driven per accident (millions)
Q4,2019,Tesla vehicles not using Autopilot technology,1.4,Miles driven per accident (millions)
Q1,2020,Tesla vehicles not using Autopilot technology,1.4,Miles driven per accident (millions)
Q2,2020,Tesla vehicles not using Autopilot technology,1.6,Miles driven per accident (millions)
Q3,2020,Tesla vehicles not using Autopilot technology,1.8,Miles driven per accident (millions)
Q4,2020,Tesla vehicles not using Autopilot technology,1.2,Miles driven per accident (millions)
Q1,2021,Tesla vehicles not using Autopilot technology,1.0,Miles driven per accident (millions)
Q2,2021,Tesla vehicles not using Autopilot technology,1.4,Miles driven per accident (millions)
Q3,2021,Tesla vehicles not using Autopilot technology,1.5,Miles driven per accident (millions)
Q4,2021,Tesla vehicles not using Autopilot technology,1.2,Miles driven per accident (millions)
Q1,2022,Tesla vehicles not using Autopilot technology,1.1,Miles driven per accident (millions)
Q2,2022,Tesla vehicles not using Autopilot technology,1.5,Miles driven per accident (millions)
Q3,2022,Tesla vehicles not using Autopilot technology,1.7,Miles driven per accident (millions)
Q3,2018,United States average,0.4,Miles driven per accident (millions)
Q4,2018,United States average,0.4,Miles driven per accident (millions)
Q1,2019,United States average,0.4,Miles driven per accident (millions)
Q2,2019,United States average,0.4,Miles driven per accident (millions)
Q3,2019,United States average,0.4,Miles driven per accident (millions)
Q4,2019,United States average,0.4,Miles driven per accident (millions)
Q1,2020,United States average,0.5,Miles driven per accident (millions)
Q2,2020,United States average,0.5,Miles driven per accident (millions)
Q3,2020,United States average,0.5,Miles driven per accident (millions)
Q4,2020,United States average,0.5,Miles driven per accident (millions)
Q1,2021,United States average,0.6,Miles driven per accident (millions)
Q2,2021,United States average,0.6,Miles driven per accident (millions)
Q3,2021,United States average,0.6,Miles driven per accident (millions)
Q4,2021,United States average,0.6,Miles driven per accident (millions)
Q1,2022,United States average,0.6,Miles driven per accident (millions)
Q2,2022,United States average,0.6,Miles driven per accident (millions)
Q3,2022,United States average,0.6,Miles driven per accident (millions)
