```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net (loss) income attributable to common stockholders (GAAP),Interest expense,Provision for income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
2Q-2019,864,-250,614,-408,172,19,579,210,572
3Q-2019,756,-385,371,143,185,26,530,199,1083
4Q-2019,1425,-412,1013,105,170,42,577,281,1175
1Q-2020,-440,-455,-895,16,169,2,553,211,951
2Q-2020,964,-546,418,104,170,21,567,347,1209
3Q-2020,2400,-1005,1395,331,163,186,584,543,1807
4Q-2020,3019,-1151,1868,270,246,83,618,633,1850
1Q-2021,1641,-1348,293,438,99,69,621,614,1841
2Q-2021,2124,-1505,619,1142,75,115,681,614,2487
3Q-2021,3147,-1819,1328,1618,126,223,761,681,3203
4Q-2021,4585,-1767,2775,2321,71,292,848,848,4090
1Q-2022,3995,-1730,2228,3318,44,346,880,922,5023
2Q-2022,2351,-1803,621,2259,61,205,922,361,3791
3Q-2022,5100,-1858,3297,3292,53,305,956,362,4968
4Q-2022,3278,-1858,1420,3687,33,276,989,419,5404
```
