```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures (1),Free cash flow (non-GAAP) (1),Net income attributable to common stockholders (GAAP) (2),Interest expense,Provision for (benefit from) income taxes (2),Depreciation, amortization and impairment,Stock-based compensation expense,Digital assets loss (gain), net (2),Adjusted EBITDA (non-GAAP) (2) (3),Net cash provided by operating activities - TTM (GAAP),Capital expenditures - TTM (1),Free cash flow - TTM (non-GAAP) (1),Net income attributable to common stockholders - TTM (GAAP) (2),Interest expense - TTM,Provision for (benefit from) income taxes - TTM (2),Depreciation, amortization and impairment - TTM,Stock-based compensation expense - TTM,Digital assets loss (gain), net - TTM (2),Adjusted EBITDA - TTM (non-GAAP) (2) (3)
2Q-2022,2351,-1730,621,2259,44,205,922,361,170,3961,3961,13242,-7464,5778,11751,159,1047,3913,1560,204,18634,18634
3Q-2022,5100,-1803,3297,3292,53,305,956,362,0,4968,4968,13956,-7794,6162,12195,143,1165,4145,1644,34,19326,19326
4Q-2022,3278,-1858,1420,3687,33,276,989,419,34,5438,5438,12164,-8450,3714,10756,128,1027,4424,1747,34,18116,18116
1Q-2023,2513,-2073,440,2513,29,261,1046,418,0,4267,4267,13256,-8899,4357,14997,156,5001,4667,1812,0,16631,16631
2Q-2023,3065,-2459,1005,2703,28,323,1154,445,465,4653,4653,10985,-9603,1382,13874,203,4779,4867,1918,0,15748,15748
3Q-2023,3308,-2307,2063,1853,38,167,1235,484,484,3758,3758,11532,-10869,3581,12571,261,4296,5104,1904,0,14769,14769
4Q-2023,4370,-2777,2535,7928,61,483,1246,524,524,3384,3384,14923,-11342,3610,12891,315,4296,5368,1999,0,15676,15676
1Q-2024,242,-2272,1340,1390,76,371,1278,457,457,4333,4333,14923,-10869,3581,12891,365,4296,5569,2048,0,15213,15213
2Q-2024,3612,-3513,2742,1400,92,602,1348,457,457,4665,4665,14923,-11342,3610,12891,385,4296,5724,2244,0,15486,15486
3Q-2024,6255,-2780,2034,2128,96,381,1348,579,579,4301,4301,16837,-10057,3581,12891,365,4296,5869,2450,0,15213,15213
4Q-2024,4814,-2394,2034,409,91,381,1496,573,573,4154,4154,16837,-10057,3581,12891,365,4296,5961,2825,0,15596,15596
1Q-2025,2156,-1492,664,409,169,169,1447,573,573,3401,3401,16837,-10057,3581,12891,365,4296,5961,2048,0,15213,15213
2Q-2025,2540,-2248,146,1172,86,359,1433,635,635,3401,3401,16837,-10057,3581,12891,365,4296,5961,2244,0,15213,15213
3Q-2025,6238,-2348,3990,1373,76,570,1625,663,663,3401,3401,16837,-10057,3581,12891,365,4296,5961,2450,0,15213,15213
4Q-2025,3813,-2393,1420,840,85,325,1643,954,954,4154,4154,16837,-10057,3581,12891,365,4296,5961,2825,0,15596,15596
```
