```csv
Time Period,Net cash provided by (used in) operating activities (GAAP),Capital expenditures,Free cash flow (non-GAAP),Net income attributable to common stockholders (GAAP),Interest expense,Provision for income taxes,Depreciation, amortization and impairment,Stock-based compensation expense,Adjusted EBITDA (non-GAAP)
"4Q-2019",1425,-412,1013,105,170,42,577,281,1175
"1Q-2020",-440,-455,-895,16,169,2,553,211,951
"2Q-2020",964,-546,418,104,170,21,567,347,1209
"3Q-2020",2400,-1005,1395,331,163,186,584,543,1807
"4Q-2020",3019,-1151,1868,270,246,83,618,633,1850
"1Q-2021",1641,-1348,293,438,99,69,621,614,1841
"2Q-2021",2124,-1505,1328,1142,75,115,681,474,2487
"3Q-2021",3147,-1819,2775,1618,126,223,761,558,3203
"4Q-2021",4585,-1810,2228,2321,71,292,848,418,4090
"1Q-2022",3995,-1730,621,3318,44,346,880,361,5023
"2Q-2022",2351,-1803,3297,2259,53,205,922,362,3791
"3Q-2022",5100,-1858,1420,3292,33,305,956,419,4968
"4Q-2022",3278,-2072,441,3687,29,276,989,418,5404
"1Q-2023",2513,-2060,1005,2513,26,261,1046,418,4267
"2Q-2023",3065,-,-,2703,28,323,1154,445,4653
```
