```csv
Time Period,Net cash provided by operating activities (GAAP),Capital expenditures (1),Free cash flow (non-GAAP) (1),Net income attributable to common stockholders (GAAP) (2),Interest expense,Provision for (benefit from) income taxes (2),Depreciation, amortization and impairment,Stock-based compensation expense,Digital assets loss (gain), net (2),Adjusted EBITDA (non-GAAP) (2) (3),Net cash provided by operating activities - TTM (GAAP),Capital expenditures - TTM (1),Free cash flow - TTM (non-GAAP) (1),Net income attributable to common stockholders - TTM (GAAP) (2),Interest expense - TTM,Provision for (benefit from) income taxes - TTM (2),Depreciation, amortization and impairment - TTM,Stock-based compensation expense - TTM,Digital assets loss (gain), net - TTM (2)
1Q-2022,3995,-1772,2223,3318,61,346,880,418,0,0,5023,14724,-7163,7561,12556,191,1132,3747,1560,204,18390
2Q-2022,2351,-1730,621,2259,44,205,922,361,170,170,3961,13242,-7464,5778,11751,159,1047,3913,1560,204,18634
3Q-2022,5100,-1803,3297,3292,53,305,956,362,-,34,4968,13956,-7794,6162,12195,143,1165,4145,1644,34,19326
4Q-2022,3278,-1858,1420,3687,33,276,989,419,34,34,5438,12164,-8450,3714,10756,128,1027,4424,1747,34,-
1Q-2023,2513,-2073,440,2513,29,261,1046,418,445,0,4267,13256,-8899,3758,14997,156,5001,-,1812,335,-
2Q-2023,3065,-2459,1005,2703,28,323,1154,445,-,0,4653,13256,-8899,3953,13874,203,-,4667,1918,-
3Q-2023,3308,-2307,2063,1853,38,167,1235,465,-,0,3953,13256,-8899,3714,12891,261,-,4991,1904,-
4Q-2023,4370,-2777,-2535,7928,61,483,1232,484,-,100,4333,10985,-9603,3384,1571,315,-,5104,1999,-
1Q-2024,242,-2272,1340,1390,76,371,1246,457,-,7,-,11532,-9815,1717,4665,203,-,4991,1904,-
2Q-2024,3612,-3513,2742,2173,86,602,1278,457,-,347,4333,14479,-10869,3610,12891,315,-,5368,2048,-
3Q-2024,6255,-3780,2034,2128,96,381,1348,579,-,284,4301,14923,-11342,3581,12571,350,-,5569,2244,-
4Q-2024,4814,-2780,664,409,91,381,1496,573,-,513,2814,14923,-11057,3610,12891,365,-,5724,2450,-
1Q-2025,2156,-1492,146,1172,86,169,1433,573,-,586,3401,16837,-10057,6780,7091,365,-,5569,2048,-
2Q-2025,2540,-2394,3990,5882,86,359,1433,635,-,586,3401,15765,-10179,5586,6110,365,-,5724,2450,-
3Q-2025,6238,-2248,3990,5082,76,570,1625,663,-,586,4227,15748,-8914,6834,5882,349,-,6001,2450,-
```
